Wall time,Step,Value
1745107438.8990974,7099,0.998046875
1745107442.4467788,7149,1.0
1745107446.009199,7199,1.0
1745107449.5588987,7249,0.998046875
1745107453.1155062,7299,1.0
1745107456.6252265,7349,1.0
1745107460.142451,7399,1.0
1745107472.1084619,7449,0.998046875
1745107475.6797552,7499,1.0
1745107479.250862,7549,0.998046875
1745107482.8096964,7599,1.0
1745107486.3624473,7649,1.0
1745107489.904154,7699,0.998046875
1745107493.4293058,7749,0.99609375
1745107496.9446297,7799,1.0
1745107510.9762251,7849,0.99609375
1745107514.517589,7899,0.998046875
1745107518.0737264,7949,0.99609375
1745107521.6232848,7999,1.0
1745107525.176227,8049,0.998046875
1745107528.7088225,8099,1.0
1745107532.217963,8149,0.99609375
1745107543.9927561,8199,1.0
1745107547.5505526,8249,1.0
1745107551.1252685,8299,1.0
1745107554.6755135,8349,1.0
1745107558.2413075,8399,1.0
1745107561.792293,8449,1.0
1745107565.3335755,8499,1.0
1745107568.8632991,8549,1.0
1745107582.0503623,8599,0.99609375
1745107585.6122453,8649,0.994140625
1745107589.1639023,8699,1.0
1745107592.7242854,8749,1.0
1745107596.2795827,8799,1.0
1745107599.8376832,8849,1.0
1745107603.367199,8899,1.0
1745107606.8984199,8949,1.0
1745107619.4624543,8999,0.998046875
1745107623.0202365,9049,1.0
1745107626.586285,9099,1.0
1745107630.1599693,9149,1.0
1745107633.7141423,9199,0.998046875
1745107637.2710807,9249,1.0
1745107640.789665,9299,1.0
1745107644.3019838,9349,1.0
1745107656.7055714,9399,1.0
1745107660.2584724,9449,1.0
1745107663.8179154,9499,1.0
1745107667.3592257,9549,0.998046875
1745107670.8990254,9599,0.998046875
1745107674.435154,9649,0.998046875
1745107677.9428575,9699,0.998046875
1745107681.453476,9749,0.990234375
1745107695.9907389,9799,1.0
1745107699.5169234,9849,1.0
1745107703.060225,9899,1.0
1745107706.6135728,9949,0.99609375
1745107710.146781,9999,1.0
1745107713.6847148,10049,1.0
1745107717.2098079,10099,1.0
1745107729.8509765,10149,1.0
1745107733.4065204,10199,0.994140625
1745107736.9537072,10249,0.99609375
1745107740.5028584,10299,1.0
1745107744.0620418,10349,1.0
1745107747.6138732,10399,1.0
1745107751.1380231,10449,1.0
1745107754.6396444,10499,1.0
1745107766.7291112,10549,0.99609375
1745107770.2910485,10599,1.0
1745107773.8494635,10649,1.0
1745107777.3933096,10699,1.0
1745107780.9387329,10749,0.998046875
1745107784.501296,10799,0.990234375
1745107788.0124996,10849,0.99609375
1745107791.5249782,10899,1.0
1745107803.2087622,10949,0.998046875
1745107806.7633836,10999,0.998046875
1745107810.300262,11049,0.998046875
1745107813.8630633,11099,0.998046875
1745107817.410132,11149,0.998046875
1745107820.9753957,11199,0.994140625
1745107824.5004363,11249,1.0
1745107828.0284233,11299,0.998046875
1745107839.328205,11349,0.99609375
1745107842.8968017,11399,0.998046875
1745107846.4405713,11449,1.0
1745107850.0032678,11499,0.998046875
1745107853.561234,11549,0.99609375
1745107857.0981786,11599,0.998046875
1745107860.6097531,11649,1.0
1745107864.126781,11699,0.998046875
1745107878.237915,11749,0.998046875
1745107881.805267,11799,0.998046875
1745107885.3763442,11849,1.0
1745107888.9317467,11899,0.994140625
1745107892.4753172,11949,1.0
1745107896.0043075,11999,1.0
1745107899.5150478,12049,1.0
1745107911.720345,12099,1.0
1745107915.2909758,12149,1.0
1745107918.823574,12199,0.998046875
1745107922.3771694,12249,0.998046875
1745107925.9467437,12299,1.0
1745107929.5119185,12349,1.0
1745107933.046779,12399,1.0
1745107936.5746386,12449,1.0
1745107948.4272616,12499,1.0
1745107951.970232,12549,1.0
1745107955.503429,12599,0.99609375
1745107959.0353084,12649,0.998046875
1745107962.5996356,12699,1.0
1745107966.1591384,12749,1.0
1745107969.6859221,12799,1.0
1745107973.2069778,12849,1.0
1745107986.7785897,12899,1.0
1745107990.3184006,12949,1.0
